id,target,name,location,phone,email,instagram,status,notes
1,estetica,Clinica Villa Bella,Salò (BS),0365 41446,info@villabella.it,@villa_bella_clinic,new,
2,estetica,Dr. Matteo Basso,Milano (MI),02 4851 9500,info@matteobasso.it,@dr.matteobasso,new,
3,estetica,Clinica Juneco Milano,Milano (MI),02 4351 2045,milano@juneco.it,@juneco_estetica,new,
4,estetica,Dr. Marco Klinger,Milano (MI),02 5831 4356,info@marcoklinger.com,@dr.marcoklinger,new,
5,estetica,Clinica Villa Donatello,Firenze (FI),055 50971,info@villadonatello.it,@villadonatello,new,
6,estetica,Dr. Carlo Gasperoni,Roma (RM),06 322 4324,carlo.gasperoni@gmail.com,@dr.carlogasperoni,new,
7,estetica,Clinica Estetica Laser,Bologna (BO),051 223456,info@esteticalaser.it,@clinicaesteticalaser,new,
8,estetica,Dr.ssa Elena Fasola,Milano (MI),02 8945 8741,info@elenafasola.com,@dr.elenafasola,new,
9,estetica,Clinica Città di Parma,Parma (PR),0521 249611,info@clinicaparma.it,@clinicacittadiparma,new,
10,estetica,Dr. Domenico Miccolis,Bari (BA),080 521 1122,info@domenicomiccolis.it,@dr_domenico_miccolis,new,
11,estetica,Clinica Ruesch,Napoli (NA),081 717 8111,info@clinicaruesch.it,@clinicaruesch,new,
12,estetica,Dr. Sergio Noviello,Milano (MI),02 7631 8234,info@sergionoviello.it,@dr.sergionoviello,new,
13,estetica,Clinica Sempione,Milano (MI),02 3456 7891,info@clinicasempione.it,@clinicasempione_estetica,new,
14,estetica,Dr. Pierfrancesco Bove,Napoli (NA),081 1930 2056,info@pierfrancescobove.it,@dr.pierfrancescobove,new,
15,estetica,Clinica San Domenico,Roma (RM),06 4423 0512,info@clinicasandomenico.it,@clinicasandomenico,new,
16,estetica,Dr. Renato Calabria,Roma (RM),06 3600 3768,info@drrenatocalabria.com,@drrenatocalabria,new,
17,estetica,Clinica Medilaser,Torino (TO),011 561 2233,info@medilaser.it,@medilaser_clinic,new,
18,estetica,Dr. Valerio Badiali,Milano (MI),02 6671 2244,info@valeriobadiali.it,@dr.valeriobadiali,new,
19,estetica,Clinica Parioli,Roma (RM),06 807 771,info@clinicaparioli.it,@clinicaparioli,new,
20,estetica,Dr. Vincenzo Del Gaudio,Salerno (SA),089 223411,info@vincenzodelgaudio.it,@dr.vincenzodelgaudio,new,
21,estetica,Clinica Sant'Anna,Caserta (CE),0823 234111,info@clinicasantanna.it,@clinicasantannacaserta,new,
22,estetica,Dr.ssa Maria Stella Tarico,Catania (CT),095 531333,info@taricoclinic.com,@dr.ssa_tarico_chirurgia,new,
23,estetica,Clinica Estetica Fontana,Venezia (VE),041 523 4511,info@clinicafontana.it,@clinicafontana,new,
24,estetica,Dr. Paolo Santanchè,Milano (MI),02 2940 3746,paolo@santanche.com,@dr.paolosantanche,new,
25,estetica,Clinica Villa Bianca,Trento (TN),0461 983111,info@villabianca.it,@clinicavillabianca,new,
26,estetica,Dr. Luca Grassetti,Ancona (AN),071 207 3344,info@lucagrassetti.it,@dr.lucagrassetti,new,
27,estetica,Clinica Columbus,Milano (MI),02 480801,info@columbusclinic.it,@columbusclinicpartner,new,
28,estetica,Dr. Carlo Tremolada,Milano (MI),02 7600 0081,info@carlotremolada.com,@carlotremolada,new,
29,estetica,Clinica Pierangeli,Pescara (PE),085 22911,info@clinicapierangeli.it,@clinicapierangeli,new,
30,estetica,Dr. Francesco D'Andrea,Napoli (NA),081 746 1111,info@francescodandrea.it,@prof.francescodandrea,new,
31,estetica,Clinica Villa del Sole,Catanzaro (CZ),0961 743456,info@villadelsole.it,@clinicavilladelsole,new,
32,estetica,Dr. Alessandro Gualdi,Milano (MI),02 7600 5476,info@alessandrogualdi.com,@dr.alessandrogualdi,new,
33,estetica,Clinica Medeste,Palermo (PA),091 625 9945,info@medeste.it,@medeste_clinic,new,
34,estetica,Dr. Gianluca Campiglio,Milano (MI),02 7602 1451,info@gianlucacampiglio.it,@dr.gianlucacampiglio,new,
35,estetica,Clinica Villa Maria,Padova (PD),049 871 1122,info@clinicavillamaria.it,@clinicavillamaria,new,
36,estetica,Dr. Silvio Smeraglia,Napoli (NA),081 578 8888,info@smeraglinaclinic.com,@drsmeraglia,new,
37,estetica,Clinica Nuova Villa Claudia,Roma (RM),06 367971,info@villaclaudia.it,@nuovavillaclaudia,new,
38,estetica,Dr. Alberto Massirone,Milano (MI),02 2951 8835,info@albertomassirone.com,@dr.albertomassirone,new,
39,estetica,Clinica San Rossore,Pisa (PI),050 586111,info@casadicurasanrossore.it,@clinicasanrossore,new,
40,estetica,Dr. Ciro De Sio,Roma (RM),06 321 2134,info@cirodesio.it,@dr.cirodesio,new,
41,estetica,Clinica Privata Villalba,Bologna (BO),051 6443111,info@villalbaprivata.it,@clinicaprivatavillalba,new,
42,estetica,Dr. Giulio Basoccu,Roma (RM),06 322 3411,info@studiobasoccu.com,@dr.giuliobasoccu,new,
43,estetica,Clinica Sedes Sapientiae,Torino (TO),011 439 5111,info@sedessapientiae.it,@clinicasedes,new,
44,estetica,Dr. Antonio Spagnolo,Milano (MI),02 3652 3550,info@antoniospagnolo.it,@dr_antonio_spagnolo,new,
45,estetica,Clinica Villa Margherita,Roma (RM),06 862751,info@clinicavillamargherita.it,@clinicavillamargherita,new,
46,estetica,Dr. Andrea Grisotti,Milano (MI),02 8645 1952,info@andreagrisotti.it,@dr.andreagrisotti,new,
47,estetica,Clinica La Vialarda,Biella (BI),015 351181,info@lavialarda.it,@clinicalavialarda,new,
48,estetica,Dr. Franz W. Baruffaldi,Verona (VR),045 803 2234,info@baruffaldischer.it,@dr.baruffaldi,new,
49,estetica,Clinica Villa Stuart,Roma (RM),06 355281,info@villastuart.it,@clinicavillastuart,new,
50,estetica,Dr. Marco Castelli,Lugano/Milano,02 5462 8844,info@marcocastelli.com,@dr.marcocastelli,new,
51,realestate,Lionard Luxury Real Estate,Firenze (FI),055 05481,info@lionard.com,@lionard_luxury_real_estate,new,
52,realestate,Italy Sotheby's Realty,Milano (MI),02 795980,italy@sothebysrealty.it,@italysothebysrealty,new,
53,realestate,Engel & Völkers Castiglione,Castiglione (GR),0564 938082,castiglionedellapescaia@engelvoelkers.com,@engelvoelkers_italy,new,
54,realestate,Carratelli Real Estate,Roma (RM),06 6880 7642,info@carratellire.com,@carratellirealestate,new,
55,realestate,Romolini Immobiliare,Anghiari (AR),0575 788948,info@romolini.com,@christiesrealestate,new,
56,realestate,Dreamer Real Estate,Firenze (FI),055 045 7062,info@dreamer.it,@dreamer_realestate,new,
